id;partido;candidato;valor_gasto;tipo_gasto;estado
535;PL;Cand_13;150983.68;Logística;AM
536;PT;Cand_5;65761.05;Logística;SP
537;PSOL;Cand_10;380132.37;Logística;BA
538;PSOL;Cand_7;283287.47;Propaganda;MG
539;PT;Cand_7;475861.54;Redes Sociais;BA
540;PSOL;Cand_8;288747.47;Propaganda;MG
541;PSDB;Cand_9;115429.58;Redes Sociais;AM
542;PSDB;Cand_20;15407.7;Logística;SP
543;PSDB;Cand_10;120232.95;Propaganda;BA
544;PSOL;Cand_5;347001.29;Eventos;SP
545;PT;Cand_8;433373.56;Pesquisa;BA
546;MDB;Cand_5;411412.99;Redes Sociais;RJ
547;PL;Cand_4;135554.5;Redes Sociais;BA
548;PSDB;Cand_11;2479.91;Logística;BA
549;PSDB;Cand_6;286116.13;Redes Sociais;SP
550;MDB;Cand_4;66693.38;Eventos;MG
551;MDB;Cand_13;18149.85;Propaganda;RJ
552;MDB;Cand_15;303516.39;Pesquisa;RJ
553;PSOL;Cand_17;322057.23;Propaganda;BA
554;PSDB;Cand_16;219014.29;Propaganda;RJ
555;MDB;Cand_18;194461.78;Eventos;SP
556;PT;Cand_8;57392.18;Logística;AM
557;PT;Cand_3;224215.48;Logística;AM
558;PT;Cand_3;143249.79;Propaganda;RJ
559;PT;Cand_8;481545.89;Redes Sociais;SP
560;PSDB;Cand_3;30457.78;Logística;MG
561;MDB;Cand_19;168553.6;Pesquisa;AM
562;MDB;Cand_7;141214.11;Pesquisa;AM
563;MDB;Cand_14;89376.41;Logística;BA
564;MDB;Cand_16;111322.75;Propaganda;SP
565;PL;Cand_15;153282.44;Redes Sociais;AM
566;PT;Cand_10;375892.64;Logística;SP
567;PT;Cand_20;321798.7;Pesquisa;AM
568;PT;Cand_7;107420.95;Redes Sociais;AM
569;PSDB;Cand_12;102508.09;Redes Sociais;RJ
570;PSOL;Cand_12;325100.68;Pesquisa;AM
571;PSDB;Cand_2;228944.94;Propaganda;MG
572;MDB;Cand_10;187223.62;Logística;SP
573;PL;Cand_19;379905.64;Redes Sociais;AM
574;PSDB;Cand_9;413756.21;Redes Sociais;BA
575;PL;Cand_16;433605.8;Pesquisa;SP
576;PL;Cand_19;463245.86;Logística;BA
577;PT;Cand_6;336472.9;Propaganda;BA
578;PSOL;Cand_13;481621.36;Propaganda;AM
579;PL;Cand_7;263856.42;Eventos;BA
580;PL;Cand_11;327640.73;Redes Sociais;RJ
581;MDB;Cand_15;337470.09;Eventos;AM
582;MDB;Cand_17;259780.89;Pesquisa;AM
583;PSDB;Cand_8;46503.03;Pesquisa;RJ
584;PL;Cand_12;497066.58;Logística;MG
585;PL;Cand_11;389868.46;Logística;BA
586;MDB;Cand_11;21516.31;Eventos;BA
587;PSOL;Cand_15;310188.89;Eventos;BA
588;PT;Cand_16;317547.54;Logística;BA
589;MDB;Cand_8;456277.06;Propaganda;MG
590;PSDB;Cand_15;75262.6;Pesquisa;MG
591;PT;Cand_6;390554.47;Redes Sociais;BA
592;PL;Cand_10;134909.1;Logística;AM
593;PL;Cand_9;319269.19;Eventos;AM
594;PSDB;Cand_5;474333.39;Redes Sociais;MG
595;PSDB;Cand_5;109281.3;Eventos;MG
596;PL;Cand_13;239088.08;Logística;MG
597;PSOL;Cand_15;348642.46;Redes Sociais;SP
598;PSDB;Cand_9;91654.45;Propaganda;RJ
599;PL;Cand_12;263671.02;Propaganda;AM
600;MDB;Cand_14;62464.64;Propaganda;BA
601;MDB;Cand_7;393197.27;Pesquisa;SP
602;PSDB;Cand_13;439591.42;Pesquisa;BA
603;PSOL;Cand_7;102992.92;Logística;SP
604;PT;Cand_7;279194.09;Redes Sociais;SP
605;PT;Cand_18;317426.68;Propaganda;SP
606;MDB;Cand_7;491469.22;Propaganda;SP
607;PT;Cand_8;277744.77;Propaganda;SP
608;PSDB;Cand_9;298872.24;Propaganda;BA
609;MDB;Cand_12;445639.3;Redes Sociais;RJ
610;PL;Cand_16;295289.86;Redes Sociais;MG
611;PSOL;Cand_10;63151.28;Pesquisa;BA
612;PT;Cand_20;28037.1;Logística;MG
613;PL;Cand_3;461386.61;Propaganda;BA
614;PL;Cand_2;69502.02;Eventos;BA
615;PSDB;Cand_11;274638.36;Eventos;SP
616;PSOL;Cand_16;408157.87;Logística;RJ
617;PSDB;Cand_3;210465.56;Eventos;SP
618;PSDB;Cand_14;352833.73;Eventos;RJ
619;PSOL;Cand_2;455428.43;Propaganda;AM
620;PSDB;Cand_11;184941.05;Redes Sociais;BA
621;MDB;Cand_15;425083.18;Pesquisa;AM
622;PT;Cand_3;188969.57;Pesquisa;BA
623;PL;Cand_9;186148.24;Pesquisa;SP
624;PSOL;Cand_14;377762.08;Redes Sociais;RJ
625;MDB;Cand_18;1452.61;Pesquisa;MG
626;MDB;Cand_7;430124.37;Propaganda;BA
627;MDB;Cand_13;160917.85;Logística;SP
628;MDB;Cand_11;181867.63;Pesquisa;MG
629;PL;Cand_19;327948.43;Pesquisa;AM
630;PT;Cand_1;72347.99;Redes Sociais;RJ
631;PSOL;Cand_2;168232.75;Eventos;AM
632;PL;Cand_3;309842.33;Redes Sociais;AM
633;PSOL;Cand_12;236761.38;Logística;AM
634;MDB;Cand_14;386899.35;Eventos;RJ
635;PSDB;Cand_5;388521.9;Pesquisa;SP
636;PSOL;Cand_13;67911.41;Eventos;MG
637;MDB;Cand_7;374568.63;Redes Sociais;SP
638;PT;Cand_6;95490.01;Pesquisa;SP
639;PSDB;Cand_10;101708.66;Pesquisa;BA
640;PSDB;Cand_8;69638.43;Propaganda;AM
641;PSDB;Cand_9;319523.48;Pesquisa;RJ
642;PL;Cand_11;321332.93;Pesquisa;BA
643;MDB;Cand_8;78473.97;Propaganda;BA
644;PSOL;Cand_10;364537.67;Pesquisa;BA
645;PT;Cand_5;166534.49;Eventos;AM
646;MDB;Cand_8;362058.74;Pesquisa;AM
647;PSDB;Cand_13;359949.41;Propaganda;MG
648;PSOL;Cand_5;238145.26;Logística;SP
649;MDB;Cand_20;171439.5;Eventos;AM
650;PSOL;Cand_1;262992.77;Eventos;RJ
651;PSDB;Cand_20;212079.37;Eventos;AM
652;PSOL;Cand_12;269549.76;Logística;RJ
653;PSDB;Cand_17;12040.06;Eventos;BA
654;PSOL;Cand_14;89242.07;Redes Sociais;BA
655;PT;Cand_17;326583.58;Eventos;RJ
656;PT;Cand_1;335067.7;Eventos;BA
657;MDB;Cand_8;408018.6;Pesquisa;SP
658;PT;Cand_2;276820.96;Eventos;RJ
659;PL;Cand_12;177004.85;Logística;BA
660;PT;Cand_3;443085.96;Propaganda;RJ
661;PL;Cand_14;48893.8;Redes Sociais;RJ
662;PSDB;Cand_17;347734.93;Redes Sociais;RJ
663;PSDB;Cand_16;179063.2;Propaganda;MG
664;PL;Cand_10;73441.64;Propaganda;RJ
665;PL;Cand_14;297261.65;Redes Sociais;MG
666;PL;Cand_17;243017.39;Eventos;MG
667;PSDB;Cand_6;357187.76;Eventos;SP
668;PSOL;Cand_18;140109.34;Redes Sociais;RJ
669;MDB;Cand_12;430262.04;Pesquisa;SP
670;PT;Cand_11;413389.83;Redes Sociais;RJ
671;PT;Cand_9;276808.79;Eventos;AM
672;PL;Cand_4;418144.21;Pesquisa;BA
673;PT;Cand_7;169447.44;Eventos;AM
674;PL;Cand_20;395919.9;Redes Sociais;BA
675;PSDB;Cand_4;190421.0;Pesquisa;AM
676;PSDB;Cand_12;242677.37;Pesquisa;MG
677;PSOL;Cand_16;2336.27;Redes Sociais;BA
678;PSDB;Cand_6;337784.82;Pesquisa;RJ
679;PSDB;Cand_17;126662.68;Propaganda;SP
680;PT;Cand_5;18071.41;Pesquisa;SP
681;PSOL;Cand_2;168541.3;Propaganda;AM
682;PSDB;Cand_4;410598.49;Eventos;MG
683;PL;Cand_10;362343.11;Redes Sociais;RJ
684;PL;Cand_15;91633.68;Eventos;AM
685;MDB;Cand_5;4069.27;Pesquisa;RJ
686;MDB;Cand_6;318168.23;Logística;MG
687;PT;Cand_14;268112.69;Propaganda;SP
688;PSDB;Cand_14;235811.15;Eventos;AM
689;PSOL;Cand_1;185649.46;Eventos;AM
690;PL;Cand_3;155707.32;Logística;SP
691;PSDB;Cand_8;142383.42;Redes Sociais;MG
692;PT;Cand_20;127283.35;Propaganda;MG
693;PSOL;Cand_2;121535.73;Pesquisa;MG
694;MDB;Cand_17;39146.94;Redes Sociais;SP
695;MDB;Cand_15;443623.58;Eventos;AM
696;PSOL;Cand_16;448701.25;Logística;AM
697;PL;Cand_19;323136.36;Pesquisa;BA
698;PT;Cand_7;132298.68;Propaganda;BA
699;PL;Cand_6;483263.69;Redes Sociais;BA
700;PSDB;Cand_16;325540.49;Logística;RJ
701;MDB;Cand_12;102979.89;Redes Sociais;RJ
702;PL;Cand_16;63939.87;Pesquisa;RJ
703;PL;Cand_4;371916.77;Redes Sociais;MG
704;MDB;Cand_10;284156.83;Pesquisa;AM
705;PSDB;Cand_13;364391.72;Eventos;BA
706;PSOL;Cand_3;292951.17;Eventos;RJ
707;PSDB;Cand_12;455054.08;Pesquisa;AM
708;MDB;Cand_13;68047.59;Redes Sociais;MG
709;PT;Cand_19;43230.17;Eventos;MG
710;PSOL;Cand_10;58304.09;Pesquisa;RJ
711;PSOL;Cand_16;52330.22;Eventos;RJ
712;MDB;Cand_14;280338.04;Eventos;SP
713;PT;Cand_19;12791.84;Logística;SP
714;PT;Cand_4;100218.08;Pesquisa;SP
715;PSOL;Cand_8;494400.39;Pesquisa;RJ
716;PSOL;Cand_11;94672.71;Eventos;SP
717;PT;Cand_16;430264.56;Redes Sociais;AM
718;PL;Cand_13;368796.81;Pesquisa;SP
719;PT;Cand_12;43654.48;Eventos;AM
720;PSOL;Cand_19;4073.68;Pesquisa;SP
721;MDB;Cand_8;146486.77;Propaganda;RJ
722;PSDB;Cand_16;283862.07;Redes Sociais;MG
723;PT;Cand_11;347432.66;Logística;AM
724;PSOL;Cand_4;71114.44;Eventos;AM
725;PSOL;Cand_16;303845.64;Pesquisa;AM
726;PSOL;Cand_6;27907.67;Pesquisa;MG
727;PL;Cand_18;208110.51;Pesquisa;MG
728;MDB;Cand_9;492404.2;Propaganda;AM
729;PT;Cand_9;443892.99;Pesquisa;AM
730;MDB;Cand_17;54191.31;Propaganda;SP
731;PL;Cand_15;53894.57;Eventos;MG
732;PT;Cand_10;272705.97;Eventos;RJ
733;PSOL;Cand_2;475517.1;Pesquisa;MG
734;PSDB;Cand_7;245957.04;Propaganda;SP
735;PL;Cand_10;194189.59;Propaganda;BA
736;PT;Cand_18;405349.53;Propaganda;BA
737;PSOL;Cand_10;350753.73;Pesquisa;AM
738;PSDB;Cand_10;442078.91;Eventos;AM
739;PSDB;Cand_20;109734.53;Pesquisa;RJ
740;PT;Cand_9;455278.7;Redes Sociais;MG
741;PSOL;Cand_6;247082.35;Logística;RJ
742;PT;Cand_6;419507.5;Pesquisa;RJ
743;PSDB;Cand_11;36075.24;Propaganda;RJ
744;PSOL;Cand_11;38430.13;Logística;RJ
745;PSOL;Cand_19;46041.4;Redes Sociais;BA
746;PT;Cand_18;470644.34;Logística;RJ
747;PT;Cand_18;67064.26;Propaganda;SP
748;PT;Cand_3;417789.17;Pesquisa;MG
749;PL;Cand_7;392518.74;Logística;RJ
750;PT;Cand_8;107102.34;Propaganda;AM
751;MDB;Cand_9;384572.88;Pesquisa;SP
752;PT;Cand_19;71092.24;Redes Sociais;MG
753;PSDB;Cand_6;203982.13;Redes Sociais;AM
754;PL;Cand_13;196000.74;Redes Sociais;BA
755;PSOL;Cand_19;355901.14;Eventos;MG
756;PL;Cand_19;455535.64;Pesquisa;SP
757;PSOL;Cand_18;430534.25;Eventos;SP
758;PSDB;Cand_9;464537.65;Logística;BA
759;PL;Cand_17;320475.66;Redes Sociais;AM
760;PL;Cand_3;463629.52;Pesquisa;AM
761;PSOL;Cand_6;149492.07;Propaganda;SP
762;PSDB;Cand_19;74569.18;Propaganda;SP
763;MDB;Cand_12;254035.62;Propaganda;SP
764;MDB;Cand_19;77041.5;Eventos;MG
765;PSDB;Cand_13;222239.31;Logística;AM
766;PL;Cand_2;342508.57;Logística;RJ
767;PSDB;Cand_13;291055.71;Propaganda;AM
768;PL;Cand_5;133465.81;Pesquisa;MG
769;PSDB;Cand_3;91515.06;Pesquisa;BA
770;MDB;Cand_20;491776.6;Pesquisa;MG
771;PT;Cand_13;424249.36;Redes Sociais;BA
772;PL;Cand_19;371411.7;Pesquisa;RJ
773;PSDB;Cand_19;257072.79;Logística;SP
774;MDB;Cand_5;197890.47;Logística;RJ
775;MDB;Cand_14;22642.64;Logística;BA
776;PL;Cand_5;212008.01;Eventos;SP
777;MDB;Cand_7;223753.79;Eventos;RJ
778;PSDB;Cand_8;217568.97;Logística;SP
779;PSOL;Cand_12;137608.41;Eventos;MG
780;PL;Cand_15;407082.69;Propaganda;MG
781;PT;Cand_18;426326.65;Propaganda;RJ
782;PL;Cand_6;224370.56;Redes Sociais;BA
783;PL;Cand_13;18072.64;Pesquisa;MG
784;PL;Cand_8;445771.46;Redes Sociais;MG
785;PL;Cand_5;215145.45;Pesquisa;BA
786;PT;Cand_6;16670.04;Logística;AM
787;PT;Cand_8;481878.99;Redes Sociais;AM
788;PSOL;Cand_4;44633.68;Logística;SP
789;PSDB;Cand_8;499509.06;Redes Sociais;AM
790;PT;Cand_19;48659.58;Logística;MG
791;PSDB;Cand_7;271278.22;Redes Sociais;BA
792;PL;Cand_1;463220.84;Propaganda;SP
793;PSOL;Cand_2;90401.16;Propaganda;SP
794;MDB;Cand_15;136746.86;Eventos;RJ
795;PSDB;Cand_9;354855.32;Pesquisa;SP
796;PSOL;Cand_4;200109.87;Propaganda;SP
797;PL;Cand_15;105577.12;Redes Sociais;BA
798;MDB;Cand_4;189694.28;Redes Sociais;AM
799;MDB;Cand_14;461029.5;Logística;RJ
800;PSDB;Cand_8;150768.81;Logística;MG
801;PSOL;Cand_7;78668.6;Pesquisa;AM
802;PL;Cand_5;287426.71;Eventos;AM
803;PSDB;Cand_4;481715.08;Redes Sociais;BA
804;PT;Cand_3;314398.02;Pesquisa;SP
805;PL;Cand_8;298543.73;Propaganda;RJ
806;PSOL;Cand_19;379242.94;Propaganda;SP
807;PSDB;Cand_2;364460.73;Logística;AM
808;PSDB;Cand_9;455335.18;Pesquisa;AM
809;PL;Cand_4;122613.32;Redes Sociais;AM
810;MDB;Cand_6;134762.13;Propaganda;BA
811;PSDB;Cand_8;110167.59;Logística;MG
812;PT;Cand_18;474120.1;Pesquisa;SP
813;PL;Cand_5;472572.63;Eventos;AM
814;PT;Cand_19;159781.51;Pesquisa;BA
815;PL;Cand_11;352711.73;Logística;RJ
816;PSDB;Cand_9;128263.42;Redes Sociais;BA
817;PSOL;Cand_20;154313.76;Pesquisa;MG
818;PT;Cand_9;235533.48;Eventos;BA
819;PL;Cand_10;278655.1;Propaganda;AM
820;PL;Cand_11;181263.6;Redes Sociais;AM
821;PL;Cand_15;232687.84;Logística;MG
822;PT;Cand_14;309389.1;Propaganda;RJ
823;MDB;Cand_16;146163.29;Propaganda;RJ
824;MDB;Cand_17;108222.52;Pesquisa;SP
825;PSDB;Cand_10;61628.79;Redes Sociais;RJ
826;PT;Cand_11;297865.47;Eventos;SP
827;PSDB;Cand_13;428898.69;Redes Sociais;AM
828;PSDB;Cand_1;386643.52;Propaganda;MG
829;PSDB;Cand_5;318141.07;Pesquisa;BA
830;PSOL;Cand_17;24097.71;Redes Sociais;SP
831;MDB;Cand_4;453215.19;Pesquisa;AM
832;PT;Cand_18;163750.83;Logística;RJ
833;MDB;Cand_12;372004.3;Redes Sociais;RJ
834;MDB;Cand_10;372652.64;Logística;SP
835;MDB;Cand_14;349149.89;Redes Sociais;RJ
836;PSDB;Cand_2;487338.39;Pesquisa;MG
837;PSOL;Cand_20;63349.34;Redes Sociais;MG
838;PSOL;Cand_17;255216.61;Propaganda;SP
839;MDB;Cand_11;189717.83;Propaganda;RJ
840;PL;Cand_7;415146.43;Redes Sociais;AM
841;PSDB;Cand_13;475945.67;Propaganda;BA
842;MDB;Cand_4;24259.16;Pesquisa;BA
843;PSDB;Cand_4;268043.12;Redes Sociais;RJ
844;PSDB;Cand_5;225979.41;Pesquisa;BA
845;PSOL;Cand_5;220886.69;Redes Sociais;MG
846;MDB;Cand_1;221857.22;Logística;AM
847;MDB;Cand_17;348575.89;Eventos;RJ
848;PSDB;Cand_1;221347.47;Pesquisa;AM
849;PL;Cand_11;318023.89;Pesquisa;SP
850;MDB;Cand_20;247284.47;Eventos;MG
851;PT;Cand_13;401166.51;Propaganda;BA
852;MDB;Cand_14;358904.69;Redes Sociais;MG
853;PSOL;Cand_13;155182.58;Logística;SP
854;PSDB;Cand_8;208792.49;Logística;SP
855;PSOL;Cand_16;427962.92;Eventos;MG
856;PT;Cand_20;52154.11;Propaganda;BA
857;PT;Cand_9;6567.22;Redes Sociais;RJ
858;PL;Cand_5;163396.81;Propaganda;RJ
859;MDB;Cand_13;427491.98;Logística;AM
860;PSOL;Cand_13;187736.86;Propaganda;BA
861;PL;Cand_2;276040.63;Logística;RJ
862;PL;Cand_13;300200.11;Pesquisa;BA
863;PSOL;Cand_3;430094.22;Logística;SP
864;PL;Cand_10;340287.12;Propaganda;AM
865;PSDB;Cand_9;87580.35;Redes Sociais;RJ
866;PT;Cand_9;268580.82;Propaganda;MG
867;PL;Cand_11;252306.95;Eventos;SP
868;MDB;Cand_14;80668.98;Propaganda;AM
869;PSOL;Cand_2;442891.58;Propaganda;MG
870;MDB;Cand_10;178362.89;Logística;AM
871;PT;Cand_12;271637.86;Propaganda;AM
872;MDB;Cand_4;333348.25;Redes Sociais;RJ
873;PL;Cand_19;286705.2;Eventos;AM
874;PSDB;Cand_13;305092.78;Logística;RJ
875;PT;Cand_2;238472.41;Logística;SP
876;PL;Cand_8;428363.2;Logística;SP
877;MDB;Cand_11;209614.54;Redes Sociais;SP
878;PSOL;Cand_9;316267.88;Eventos;AM
879;PL;Cand_7;36631.35;Eventos;MG
880;PSOL;Cand_10;49128.95;Logística;AM
881;PL;Cand_9;192241.11;Pesquisa;BA
882;PSDB;Cand_2;297856.88;Redes Sociais;AM
883;MDB;Cand_20;302601.06;Pesquisa;RJ
884;PSOL;Cand_10;16255.33;Logística;SP
885;PSDB;Cand_14;128099.35;Logística;AM
886;PT;Cand_14;251445.35;Propaganda;BA
887;MDB;Cand_2;137572.92;Logística;SP
888;MDB;Cand_5;220713.88;Pesquisa;AM
889;PL;Cand_12;68070.47;Eventos;AM
890;PSDB;Cand_14;444338.49;Pesquisa;AM
891;MDB;Cand_6;116489.01;Redes Sociais;AM
892;PSOL;Cand_10;183674.19;Eventos;SP
893;PSOL;Cand_12;364432.61;Eventos;RJ
894;PSDB;Cand_17;392142.61;Logística;MG
895;MDB;Cand_12;111081.69;Propaganda;RJ
896;PSDB;Cand_16;27937.15;Pesquisa;BA
897;PL;Cand_4;357460.05;Pesquisa;AM
898;PSOL;Cand_7;342430.33;Eventos;RJ
899;PT;Cand_10;138533.11;Eventos;AM
900;MDB;Cand_12;371718.64;Propaganda;SP
901;PSOL;Cand_16;343517.43;Propaganda;RJ
902;PSDB;Cand_13;39041.14;Eventos;SP
903;PSDB;Cand_7;86983.69;Redes Sociais;RJ
904;PSDB;Cand_20;35728.6;Pesquisa;SP
905;PSDB;Cand_5;322760.18;Pesquisa;AM
906;PL;Cand_11;366010.97;Propaganda;MG
907;PL;Cand_5;245394.75;Logística;SP
908;PT;Cand_20;125452.25;Logística;SP
909;PSDB;Cand_7;153126.33;Pesquisa;SP
910;PT;Cand_4;442273.22;Redes Sociais;RJ
911;MDB;Cand_11;63090.29;Redes Sociais;SP
912;PT;Cand_10;449479.92;Pesquisa;SP
913;PL;Cand_7;302013.87;Propaganda;SP
914;MDB;Cand_8;197314.61;Eventos;RJ
915;MDB;Cand_7;16899.44;Pesquisa;SP
916;PSDB;Cand_6;76652.14;Eventos;SP
917;PSDB;Cand_7;467689.5;Eventos;MG
918;MDB;Cand_11;191923.81;Propaganda;SP
919;PT;Cand_8;147488.68;Logística;BA
920;PT;Cand_14;39108.66;Eventos;BA
921;PT;Cand_5;70577.71;Propaganda;AM
922;PSDB;Cand_1;416949.77;Eventos;SP
923;PSOL;Cand_2;308758.12;Propaganda;BA
924;PT;Cand_3;56946.85;Propaganda;AM
925;PT;Cand_9;386562.08;Redes Sociais;RJ
926;PSDB;Cand_16;164120.28;Logística;MG
927;PL;Cand_1;331407.63;Pesquisa;BA
928;PT;Cand_2;441779.1;Redes Sociais;SP
929;PSDB;Cand_3;439151.29;Propaganda;RJ
930;PSOL;Cand_4;141088.36;Redes Sociais;AM
931;PL;Cand_16;40172.13;Pesquisa;AM
932;PSDB;Cand_3;391354.92;Propaganda;AM
933;PL;Cand_3;233359.45;Redes Sociais;RJ
934;PSDB;Cand_6;268043.14;Pesquisa;SP
935;PL;Cand_5;484220.42;Logística;RJ
936;PT;Cand_16;444853.59;Eventos;BA
937;PT;Cand_4;297635.63;Propaganda;SP
938;PSOL;Cand_18;441089.62;Logística;SP
939;PSDB;Cand_11;23602.71;Eventos;MG
940;PT;Cand_11;135582.05;Redes Sociais;MG
941;MDB;Cand_9;494355.93;Eventos;SP
942;PT;Cand_19;213907.44;Redes Sociais;AM
943;MDB;Cand_2;19848.86;Pesquisa;BA
944;PSDB;Cand_4;191566.64;Logística;BA
945;PSOL;Cand_13;382306.83;Logística;SP
946;PSDB;Cand_14;148059.45;Propaganda;MG
947;PT;Cand_7;8786.23;Pesquisa;SP
948;MDB;Cand_10;216825.2;Propaganda;RJ
949;PSOL;Cand_13;428517.98;Propaganda;RJ
950;PT;Cand_6;39271.67;Propaganda;SP
951;MDB;Cand_1;84280.75;Eventos;RJ
952;PSDB;Cand_10;266226.62;Pesquisa;AM
953;MDB;Cand_10;491912.92;Redes Sociais;BA
954;PT;Cand_13;368692.55;Redes Sociais;SP
955;MDB;Cand_7;432291.82;Eventos;AM
956;PL;Cand_5;419016.19;Eventos;AM
957;PSOL;Cand_12;41704.6;Pesquisa;AM
958;MDB;Cand_5;269823.14;Pesquisa;AM
959;PSOL;Cand_8;396995.1;Pesquisa;SP
960;PSDB;Cand_15;471395.1;Eventos;MG
961;PT;Cand_10;403642.53;Pesquisa;SP
962;PL;Cand_5;338487.37;Redes Sociais;AM
963;PL;Cand_19;336630.69;Propaganda;MG
964;PSOL;Cand_17;221918.8;Eventos;AM
965;PSDB;Cand_1;267100.67;Propaganda;BA
966;MDB;Cand_1;385701.08;Logística;AM
967;PT;Cand_20;229946.37;Logística;AM
968;PT;Cand_15;144698.41;Redes Sociais;AM
969;PSOL;Cand_16;282272.22;Logística;RJ
970;PSOL;Cand_8;208223.82;Eventos;BA
971;PSOL;Cand_3;467117.45;Eventos;MG
972;PSDB;Cand_9;412699.41;Logística;MG
973;PT;Cand_8;170552.77;Pesquisa;SP
974;PSDB;Cand_3;113310.13;Pesquisa;RJ
975;PT;Cand_5;35844.58;Propaganda;SP
976;PSOL;Cand_10;378938.6;Logística;MG
977;PT;Cand_14;63451.84;Redes Sociais;AM
978;PT;Cand_15;216837.25;Eventos;BA
979;PSDB;Cand_8;294865.58;Logística;BA
980;PT;Cand_4;9239.84;Logística;RJ
981;PT;Cand_5;176183.12;Pesquisa;MG
982;PT;Cand_16;107253.53;Redes Sociais;AM
983;PSOL;Cand_10;173055.89;Logística;BA
984;PSOL;Cand_7;232396.45;Logística;AM
985;PT;Cand_2;37899.15;Eventos;SP
986;PSDB;Cand_16;85828.05;Pesquisa;SP
987;MDB;Cand_9;178284.14;Pesquisa;MG
988;MDB;Cand_13;261454.41;Logística;RJ
989;PL;Cand_16;303027.75;Logística;RJ
990;PSDB;Cand_6;66813.44;Redes Sociais;SP
991;MDB;Cand_4;64532.65;Logística;RJ
992;PT;Cand_18;233119.24;Eventos;MG
993;PL;Cand_6;284898.53;Logística;MG
994;PSOL;Cand_11;313286.89;Pesquisa;RJ
995;PT;Cand_1;148283.55;Redes Sociais;BA
996;PSDB;Cand_13;458340.01;Logística;SP
997;PT;Cand_10;490121.36;Redes Sociais;SP
998;PL;Cand_6;281724.19;Eventos;AM
999;PT;Cand_19;317361.75;Pesquisa;MG
1000;PT;Cand_7;201476.82;Eventos;MG
