id;cidade;idade;genero;candidato;renda
665;Belém;20;M;Candidato A;Média
666;Fortaleza;30;M;Candidato B;Alta
667;Fortaleza;68;M;Candidato A;Média
668;Salvador;31;M;Candidato A;Média
669;Salvador;71;M;Candidato A;Alta
670;Belém;58;M;Candidato C;Média
671;Manaus;35;M;Candidato C;Baixa
672;Belém;27;M;Candidato B;Alta
673;Recife;38;M;Candidato B;Alta
674;Salvador;17;F;Candidato C;Alta
675;Belém;73;M;Candidato C;Média
676;Recife;42;M;Candidato A;Média
677;Manaus;54;M;Candidato A;Baixa
678;Belém;28;F;Candidato B;Média
679;Belém;50;M;Candidato A;Baixa
680;Fortaleza;77;F;Candidato A;Média
681;Manaus;76;F;Candidato B;Média
682;Salvador;47;M;Candidato C;Baixa
683;Manaus;24;M;Candidato A;Média
684;Recife;55;M;Candidato C;Média
685;Recife;23;F;Candidato C;Média
686;Manaus;38;F;Candidato B;Alta
687;Belém;60;F;Candidato B;Alta
688;Salvador;58;F;Candidato B;Baixa
689;Recife;27;F;Candidato A;Baixa
690;Fortaleza;25;M;Candidato A;Alta
691;Salvador;49;F;Candidato A;Alta
692;Manaus;43;M;Candidato C;Baixa
693;Recife;17;F;Candidato A;Alta
694;Belém;22;F;Candidato A;Alta
695;Belém;59;M;Candidato B;Baixa
696;Recife;52;M;Candidato C;Média
697;Recife;24;F;Candidato A;Baixa
698;Recife;55;M;Candidato B;Baixa
699;Fortaleza;21;F;Candidato C;Alta
700;Belém;64;M;Candidato B;Média
701;Belém;42;F;Candidato B;Média
702;Salvador;72;M;Candidato A;Média
703;Recife;36;M;Candidato C;Baixa
704;Recife;24;M;Candidato B;Alta
705;Recife;16;M;Candidato A;Alta
706;Belém;40;F;Candidato C;Alta
707;Belém;24;M;Candidato C;Média
708;Belém;58;F;Candidato B;Baixa
709;Salvador;75;F;Candidato A;Baixa
710;Salvador;33;M;Candidato B;Alta
711;Salvador;62;F;Candidato C;Alta
712;Salvador;60;F;Candidato A;Média
713;Fortaleza;27;M;Candidato B;Média
714;Recife;27;F;Candidato B;Média
715;Salvador;53;F;Candidato C;Alta
716;Salvador;27;M;Candidato C;Baixa
717;Salvador;21;F;Candidato B;Média
718;Recife;32;F;Candidato A;Alta
719;Manaus;76;M;Candidato A;Baixa
720;Recife;61;M;Candidato B;Média
721;Manaus;33;M;Candidato A;Média
722;Belém;30;M;Candidato C;Baixa
723;Fortaleza;26;F;Candidato B;Média
724;Belém;78;M;Candidato C;Alta
725;Fortaleza;75;M;Candidato C;Alta
726;Manaus;76;F;Candidato A;Alta
727;Recife;57;M;Candidato A;Média
728;Manaus;33;M;Candidato A;Baixa
729;Manaus;21;M;Candidato B;Média
730;Salvador;43;F;Candidato B;Média
731;Recife;36;F;Candidato C;Baixa
732;Belém;32;M;Candidato C;Alta
733;Fortaleza;20;F;Candidato B;Alta
734;Belém;61;M;Candidato A;Alta
735;Salvador;58;F;Candidato C;Alta
736;Fortaleza;52;F;Candidato A;Alta
737;Belém;43;M;Candidato B;Baixa
738;Fortaleza;58;F;Candidato C;Alta
739;Fortaleza;71;M;Candidato C;Alta
740;Fortaleza;45;F;Candidato B;Alta
741;Salvador;21;F;Candidato B;Alta
742;Fortaleza;50;F;Candidato C;Alta
743;Fortaleza;43;F;Candidato C;Média
744;Manaus;79;M;Candidato C;Baixa
745;Recife;31;M;Candidato C;Baixa
746;Recife;34;F;Candidato C;Baixa
747;Fortaleza;77;M;Candidato C;Média
748;Fortaleza;37;F;Candidato A;Alta
749;Belém;56;M;Candidato B;Baixa
750;Recife;72;F;Candidato A;Média
751;Belém;66;M;Candidato C;Baixa
752;Salvador;71;F;Candidato B;Baixa
753;Salvador;47;F;Candidato A;Baixa
754;Fortaleza;72;F;Candidato A;Baixa
755;Manaus;18;M;Candidato A;Baixa
756;Belém;16;F;Candidato C;Alta
757;Fortaleza;37;F;Candidato A;Baixa
758;Fortaleza;44;M;Candidato B;Média
759;Salvador;16;M;Candidato B;Baixa
760;Belém;33;M;Candidato A;Alta
761;Recife;28;M;Candidato A;Baixa
762;Belém;29;F;Candidato A;Baixa
763;Salvador;53;F;Candidato C;Baixa
764;Salvador;16;M;Candidato A;Média
765;Belém;26;M;Candidato A;Alta
766;Salvador;36;F;Candidato C;Média
767;Recife;67;F;Candidato A;Baixa
768;Recife;76;M;Candidato A;Baixa
769;Fortaleza;21;F;Candidato C;Baixa
770;Salvador;61;F;Candidato B;Média
771;Fortaleza;45;M;Candidato A;Média
772;Salvador;80;M;Candidato C;Média
773;Recife;47;F;Candidato A;Média
774;Fortaleza;35;F;Candidato A;Baixa
775;Belém;62;M;Candidato A;Baixa
776;Belém;79;M;Candidato B;Média
777;Fortaleza;30;M;Candidato B;Baixa
778;Manaus;26;M;Candidato A;Alta
779;Recife;59;M;Candidato C;Média
780;Fortaleza;31;F;Candidato B;Baixa
781;Manaus;29;M;Candidato C;Baixa
782;Salvador;60;M;Candidato B;Média
783;Manaus;20;F;Candidato A;Baixa
784;Manaus;73;F;Candidato A;Baixa
785;Manaus;42;F;Candidato C;Baixa
786;Belém;72;F;Candidato A;Baixa
787;Salvador;73;M;Candidato C;Alta
788;Recife;60;M;Candidato A;Baixa
789;Recife;48;F;Candidato C;Baixa
790;Recife;70;M;Candidato C;Baixa
791;Salvador;21;F;Candidato B;Baixa
792;Salvador;36;M;Candidato C;Baixa
793;Salvador;78;F;Candidato A;Baixa
794;Fortaleza;47;M;Candidato A;Média
795;Recife;25;M;Candidato A;Média
796;Salvador;79;M;Candidato B;Média
797;Fortaleza;25;F;Candidato A;Média
798;Salvador;66;M;Candidato B;Média
799;Fortaleza;31;F;Candidato C;Alta
800;Manaus;49;F;Candidato C;Baixa
801;Fortaleza;71;M;Candidato B;Baixa
802;Manaus;33;M;Candidato A;Média
803;Manaus;70;F;Candidato A;Baixa
804;Belém;69;M;Candidato C;Baixa
805;Belém;20;M;Candidato B;Média
806;Fortaleza;25;M;Candidato B;Alta
807;Manaus;33;F;Candidato A;Baixa
808;Recife;46;F;Candidato C;Média
809;Belém;66;F;Candidato C;Média
810;Belém;20;F;Candidato A;Baixa
811;Fortaleza;75;F;Candidato A;Baixa
812;Belém;54;F;Candidato B;Média
813;Belém;62;F;Candidato B;Baixa
814;Manaus;75;M;Candidato B;Alta
815;Salvador;62;M;Candidato B;Baixa
816;Salvador;57;F;Candidato C;Média
817;Belém;28;F;Candidato A;Alta
818;Fortaleza;79;F;Candidato C;Alta
819;Belém;39;M;Candidato C;Baixa
820;Salvador;57;M;Candidato A;Média
821;Salvador;27;M;Candidato B;Alta
822;Salvador;62;F;Candidato A;Baixa
823;Manaus;58;F;Candidato A;Alta
824;Recife;20;M;Candidato B;Baixa
825;Salvador;77;M;Candidato A;Baixa
826;Fortaleza;34;F;Candidato C;Média
827;Belém;63;M;Candidato A;Baixa
828;Belém;63;M;Candidato A;Baixa
829;Belém;35;F;Candidato B;Alta
830;Manaus;58;M;Candidato C;Média
831;Belém;32;F;Candidato A;Média
832;Fortaleza;62;F;Candidato C;Média
833;Manaus;24;M;Candidato A;Baixa
834;Manaus;29;M;Candidato A;Alta
835;Belém;61;F;Candidato B;Baixa
836;Belém;39;M;Candidato C;Alta
837;Salvador;59;M;Candidato C;Média
838;Recife;62;M;Candidato C;Média
839;Salvador;22;M;Candidato B;Média
840;Recife;17;F;Candidato B;Baixa
841;Manaus;77;F;Candidato C;Alta
842;Recife;70;M;Candidato A;Alta
843;Belém;60;F;Candidato B;Baixa
844;Salvador;65;F;Candidato A;Alta
845;Manaus;65;F;Candidato B;Baixa
846;Manaus;72;F;Candidato B;Baixa
847;Recife;79;M;Candidato C;Média
848;Salvador;48;F;Candidato B;Alta
849;Salvador;46;F;Candidato B;Baixa
850;Manaus;80;M;Candidato C;Média
851;Belém;47;M;Candidato C;Média
852;Salvador;80;F;Candidato A;Baixa
853;Fortaleza;73;F;Candidato C;Baixa
854;Belém;37;F;Candidato A;Média
855;Recife;80;F;Candidato C;Alta
856;Recife;73;M;Candidato C;Alta
857;Fortaleza;63;M;Candidato A;Baixa
858;Manaus;19;F;Candidato B;Alta
859;Recife;62;M;Candidato C;Média
860;Fortaleza;28;F;Candidato A;Baixa
861;Fortaleza;45;M;Candidato B;Alta
862;Belém;62;F;Candidato C;Média
863;Manaus;57;M;Candidato B;Média
864;Fortaleza;34;M;Candidato C;Baixa
865;Belém;60;M;Candidato B;Alta
866;Belém;79;M;Candidato A;Baixa
867;Recife;69;M;Candidato B;Baixa
868;Belém;59;F;Candidato C;Média
869;Recife;28;M;Candidato C;Média
870;Salvador;23;M;Candidato B;Alta
871;Salvador;44;F;Candidato C;Média
872;Belém;65;F;Candidato A;Média
873;Recife;72;F;Candidato B;Média
874;Recife;42;M;Candidato A;Alta
875;Salvador;59;F;Candidato C;Média
876;Belém;49;F;Candidato B;Média
877;Fortaleza;51;F;Candidato C;Alta
878;Manaus;71;M;Candidato C;Alta
879;Manaus;52;F;Candidato A;Baixa
880;Fortaleza;64;M;Candidato B;Alta
881;Recife;73;F;Candidato C;Média
882;Recife;75;F;Candidato C;Média
883;Belém;34;M;Candidato B;Alta
884;Salvador;63;F;Candidato C;Baixa
885;Salvador;32;F;Candidato B;Média
886;Belém;26;F;Candidato B;Baixa
887;Recife;18;F;Candidato C;Alta
888;Salvador;70;M;Candidato B;Alta
889;Fortaleza;34;F;Candidato A;Média
890;Fortaleza;71;F;Candidato B;Baixa
891;Belém;73;F;Candidato B;Alta
892;Manaus;67;F;Candidato B;Alta
893;Manaus;48;M;Candidato B;Baixa
894;Fortaleza;43;M;Candidato B;Alta
895;Fortaleza;19;M;Candidato A;Média
896;Belém;32;F;Candidato C;Média
897;Belém;77;M;Candidato B;Alta
898;Recife;45;M;Candidato B;Baixa
899;Fortaleza;56;M;Candidato A;Média
900;Recife;43;M;Candidato C;Média
901;Recife;46;M;Candidato A;Alta
902;Belém;38;F;Candidato B;Baixa
903;Salvador;18;M;Candidato A;Média
904;Recife;33;F;Candidato C;Média
905;Belém;56;F;Candidato C;Alta
906;Recife;51;F;Candidato C;Média
907;Recife;34;M;Candidato C;Baixa
908;Belém;78;F;Candidato A;Alta
909;Manaus;29;F;Candidato B;Baixa
910;Salvador;26;F;Candidato B;Baixa
911;Fortaleza;25;M;Candidato A;Média
912;Salvador;21;M;Candidato C;Média
913;Salvador;74;M;Candidato C;Alta
914;Recife;33;M;Candidato C;Baixa
915;Salvador;28;F;Candidato C;Baixa
916;Recife;65;F;Candidato A;Baixa
917;Belém;77;M;Candidato C;Alta
918;Fortaleza;55;F;Candidato C;Baixa
919;Salvador;31;M;Candidato B;Média
920;Fortaleza;74;F;Candidato B;Baixa
921;Manaus;60;F;Candidato C;Média
922;Fortaleza;69;F;Candidato C;Média
923;Recife;38;M;Candidato B;Alta
924;Salvador;49;M;Candidato A;Baixa
925;Manaus;62;F;Candidato B;Baixa
926;Manaus;43;M;Candidato B;Alta
927;Recife;45;F;Candidato A;Baixa
928;Salvador;48;M;Candidato A;Alta
929;Recife;73;M;Candidato B;Baixa
930;Recife;33;F;Candidato C;Média
931;Recife;60;F;Candidato B;Baixa
932;Manaus;71;M;Candidato C;Média
933;Salvador;44;F;Candidato C;Baixa
934;Salvador;53;F;Candidato C;Alta
935;Fortaleza;29;F;Candidato B;Média
936;Fortaleza;39;F;Candidato A;Média
937;Manaus;30;M;Candidato C;Alta
938;Recife;77;F;Candidato A;Baixa
939;Manaus;78;M;Candidato C;Alta
940;Belém;43;F;Candidato A;Alta
941;Recife;54;F;Candidato C;Média
942;Belém;51;F;Candidato B;Média
943;Manaus;72;M;Candidato A;Baixa
944;Recife;56;M;Candidato A;Baixa
945;Fortaleza;63;F;Candidato B;Média
946;Manaus;77;F;Candidato A;Alta
947;Manaus;49;F;Candidato B;Alta
948;Recife;75;M;Candidato B;Alta
949;Salvador;64;F;Candidato C;Média
950;Recife;47;F;Candidato B;Baixa
951;Salvador;57;M;Candidato B;Alta
952;Salvador;18;F;Candidato A;Alta
953;Fortaleza;64;F;Candidato B;Baixa
954;Manaus;80;M;Candidato A;Baixa
955;Fortaleza;60;M;Candidato B;Baixa
956;Recife;65;M;Candidato A;Baixa
957;Belém;60;M;Candidato C;Média
958;Salvador;75;F;Candidato C;Alta
959;Manaus;33;F;Candidato A;Baixa
960;Belém;20;M;Candidato C;Alta
961;Belém;54;F;Candidato C;Alta
962;Manaus;40;F;Candidato A;Média
963;Fortaleza;69;M;Candidato A;Alta
964;Recife;60;F;Candidato A;Baixa
965;Fortaleza;16;M;Candidato C;Média
966;Recife;55;F;Candidato C;Baixa
967;Manaus;22;M;Candidato B;Alta
968;Salvador;24;M;Candidato C;Baixa
969;Recife;67;M;Candidato B;Alta
970;Recife;35;F;Candidato B;Baixa
971;Salvador;59;F;Candidato C;Alta
972;Manaus;32;F;Candidato C;Alta
973;Manaus;61;F;Candidato A;Alta
974;Fortaleza;19;F;Candidato B;Alta
975;Salvador;25;F;Candidato C;Alta
976;Belém;80;F;Candidato C;Média
977;Manaus;24;M;Candidato B;Alta
978;Manaus;67;F;Candidato B;Baixa
979;Manaus;24;M;Candidato B;Alta
980;Belém;40;M;Candidato A;Média
981;Recife;29;M;Candidato C;Baixa
982;Recife;29;F;Candidato C;Baixa
983;Fortaleza;47;F;Candidato B;Baixa
984;Fortaleza;68;F;Candidato C;Alta
985;Fortaleza;44;M;Candidato C;Baixa
986;Manaus;75;F;Candidato A;Média
987;Recife;77;M;Candidato A;Baixa
988;Salvador;35;F;Candidato A;Alta
989;Salvador;23;F;Candidato A;Baixa
990;Fortaleza;17;M;Candidato C;Média
991;Fortaleza;26;F;Candidato B;Alta
992;Fortaleza;75;M;Candidato C;Média
993;Belém;62;F;Candidato C;Média
994;Recife;28;F;Candidato C;Alta
995;Salvador;67;F;Candidato B;Baixa
996;Fortaleza;60;F;Candidato C;Baixa
997;Recife;71;M;Candidato C;Baixa
998;Manaus;37;M;Candidato C;Média
999;Belém;46;M;Candidato C;Baixa
1000;Salvador;24;F;Candidato C;Média
