id;estado;idade;genero;avaliacao;escolaridade
705;SP;43;F;Péssimo;Superior
706;BA;20;F;Ótimo;Pós-graduação
707;AM;72;M;Regular;Médio
708;RJ;75;M;Ótimo;Médio
709;SP;20;M;Ótimo;Médio
710;MG;43;M;Ruim;Pós-graduação
711;SP;27;M;Péssimo;Superior
712;RJ;51;F;Péssimo;Pós-graduação
713;RJ;35;M;Ótimo;Fundamental
714;AM;51;F;Ruim;Médio
715;MG;59;F;Ótimo;Médio
716;SP;66;M;Péssimo;Médio
717;BA;80;M;Bom;Pós-graduação
718;MG;29;M;Regular;Superior
719;SP;19;M;Ruim;Superior
720;MG;43;M;Bom;Médio
721;BA;57;F;Regular;Fundamental
722;BA;67;F;Péssimo;Superior
723;AM;75;M;Regular;Pós-graduação
724;BA;55;M;Ruim;Médio
725;RJ;49;M;Ruim;Superior
726;SP;76;F;Bom;Médio
727;MG;76;F;Bom;Superior
728;RJ;72;F;Ótimo;Pós-graduação
729;AM;17;M;Péssimo;Fundamental
730;RJ;22;M;Regular;Pós-graduação
731;MG;54;F;Ruim;Superior
732;AM;48;M;Péssimo;Médio
733;BA;21;F;Ótimo;Superior
734;AM;69;M;Bom;Médio
735;RJ;64;M;Bom;Superior
736;BA;73;M;Bom;Médio
737;MG;39;M;Ruim;Superior
738;MG;68;M;Regular;Médio
739;RJ;56;F;Regular;Superior
740;SP;49;F;Bom;Superior
741;RJ;22;F;Ruim;Fundamental
742;RJ;77;M;Ótimo;Médio
743;BA;25;F;Péssimo;Fundamental
744;AM;79;M;Regular;Superior
745;BA;79;F;Bom;Médio
746;AM;52;F;Regular;Médio
747;RJ;75;M;Ótimo;Médio
748;BA;72;F;Ótimo;Médio
749;BA;25;F;Ótimo;Superior
750;BA;35;M;Ruim;Fundamental
751;SP;69;M;Ótimo;Pós-graduação
752;AM;79;M;Ruim;Médio
753;SP;45;M;Regular;Fundamental
754;MG;48;M;Bom;Pós-graduação
755;SP;32;F;Bom;Pós-graduação
756;RJ;54;F;Ótimo;Fundamental
757;MG;33;M;Bom;Superior
758;RJ;22;F;Regular;Pós-graduação
759;MG;61;M;Bom;Pós-graduação
760;RJ;44;M;Regular;Médio
761;BA;19;M;Regular;Superior
762;RJ;45;F;Ótimo;Superior
763;RJ;35;F;Bom;Médio
764;SP;64;M;Ruim;Pós-graduação
765;BA;45;M;Ruim;Superior
766;SP;63;M;Regular;Fundamental
767;BA;73;F;Péssimo;Fundamental
768;RJ;66;F;Péssimo;Médio
769;MG;19;M;Ótimo;Fundamental
770;AM;55;F;Ótimo;Médio
771;BA;66;F;Péssimo;Pós-graduação
772;SP;21;F;Ótimo;Fundamental
773;RJ;56;M;Regular;Fundamental
774;BA;75;F;Bom;Médio
775;BA;71;F;Regular;Médio
776;MG;54;F;Bom;Médio
777;BA;78;M;Ruim;Fundamental
778;MG;48;M;Regular;Fundamental
779;RJ;27;F;Ótimo;Superior
780;BA;70;F;Péssimo;Pós-graduação
781;SP;40;M;Regular;Pós-graduação
782;MG;36;F;Ruim;Fundamental
783;BA;27;F;Péssimo;Médio
784;RJ;37;F;Ótimo;Médio
785;MG;43;M;Ruim;Pós-graduação
786;RJ;44;M;Regular;Fundamental
787;MG;17;M;Regular;Superior
788;RJ;65;F;Regular;Pós-graduação
789;AM;47;M;Péssimo;Fundamental
790;BA;19;F;Bom;Pós-graduação
791;BA;72;M;Ótimo;Fundamental
792;MG;63;F;Ruim;Superior
793;RJ;52;M;Ótimo;Pós-graduação
794;AM;53;M;Bom;Médio
795;MG;74;F;Regular;Superior
796;RJ;63;M;Ótimo;Pós-graduação
797;MG;67;F;Péssimo;Superior
798;BA;29;M;Bom;Pós-graduação
799;BA;34;F;Ruim;Fundamental
800;AM;25;M;Péssimo;Pós-graduação
801;MG;16;M;Péssimo;Pós-graduação
802;BA;59;F;Ruim;Fundamental
803;BA;61;F;Péssimo;Superior
804;BA;49;M;Péssimo;Médio
805;RJ;47;F;Ruim;Fundamental
806;AM;17;F;Ótimo;Médio
807;AM;16;M;Péssimo;Fundamental
808;SP;31;M;Bom;Pós-graduação
809;BA;44;M;Ruim;Fundamental
810;MG;35;F;Péssimo;Fundamental
811;BA;46;F;Regular;Pós-graduação
812;AM;27;F;Péssimo;Fundamental
813;AM;60;M;Bom;Pós-graduação
814;SP;21;F;Ótimo;Fundamental
815;AM;37;F;Bom;Superior
816;RJ;30;F;Péssimo;Superior
817;AM;61;M;Ruim;Superior
818;SP;19;F;Ótimo;Superior
819;BA;46;M;Regular;Pós-graduação
820;RJ;17;M;Regular;Médio
821;AM;38;F;Regular;Superior
822;AM;64;F;Regular;Superior
823;MG;62;F;Ótimo;Pós-graduação
824;MG;43;F;Péssimo;Superior
825;BA;51;F;Ótimo;Superior
826;RJ;76;F;Ótimo;Médio
827;BA;46;M;Ruim;Fundamental
828;BA;49;F;Ruim;Superior
829;BA;53;M;Ótimo;Pós-graduação
830;SP;43;M;Péssimo;Superior
831;BA;59;M;Ótimo;Pós-graduação
832;RJ;71;M;Péssimo;Médio
833;SP;59;M;Ótimo;Pós-graduação
834;AM;67;M;Péssimo;Pós-graduação
835;AM;63;M;Regular;Pós-graduação
836;SP;65;M;Ruim;Superior
837;RJ;69;M;Ótimo;Pós-graduação
838;AM;26;M;Bom;Pós-graduação
839;BA;28;M;Ótimo;Fundamental
840;BA;51;F;Ruim;Fundamental
841;SP;74;M;Ruim;Médio
842;MG;31;F;Regular;Fundamental
843;BA;58;F;Ótimo;Superior
844;SP;46;F;Bom;Fundamental
845;RJ;39;F;Ruim;Fundamental
846;BA;40;M;Péssimo;Fundamental
847;MG;64;F;Bom;Superior
848;SP;33;M;Regular;Pós-graduação
849;SP;76;F;Regular;Superior
850;SP;80;M;Regular;Pós-graduação
851;MG;41;F;Péssimo;Fundamental
852;SP;37;F;Péssimo;Pós-graduação
853;RJ;25;F;Regular;Médio
854;AM;80;F;Regular;Médio
855;BA;33;M;Regular;Pós-graduação
856;RJ;25;M;Ótimo;Médio
857;RJ;78;M;Ruim;Pós-graduação
858;AM;52;F;Péssimo;Médio
859;AM;34;F;Bom;Pós-graduação
860;AM;37;M;Ótimo;Médio
861;BA;37;F;Péssimo;Pós-graduação
862;MG;62;M;Ruim;Pós-graduação
863;MG;16;M;Regular;Superior
864;BA;54;M;Ruim;Superior
865;AM;35;F;Ruim;Superior
866;BA;65;F;Ótimo;Médio
867;SP;66;F;Ruim;Médio
868;SP;16;M;Ótimo;Médio
869;MG;50;F;Ruim;Superior
870;RJ;72;M;Ótimo;Superior
871;BA;42;F;Ótimo;Pós-graduação
872;BA;35;F;Regular;Superior
873;MG;76;F;Bom;Pós-graduação
874;SP;21;M;Regular;Médio
875;MG;38;M;Bom;Médio
876;SP;28;M;Bom;Pós-graduação
877;RJ;29;M;Regular;Pós-graduação
878;BA;40;M;Regular;Fundamental
879;MG;25;F;Regular;Fundamental
880;AM;17;M;Péssimo;Pós-graduação
881;MG;44;M;Péssimo;Fundamental
882;MG;32;F;Ótimo;Pós-graduação
883;BA;32;M;Ruim;Médio
884;AM;67;M;Ótimo;Pós-graduação
885;SP;25;M;Péssimo;Superior
886;AM;55;F;Ótimo;Pós-graduação
887;AM;80;M;Regular;Superior
888;SP;53;M;Ruim;Fundamental
889;AM;56;F;Ótimo;Médio
890;RJ;80;F;Péssimo;Pós-graduação
891;RJ;62;M;Regular;Fundamental
892;RJ;25;M;Regular;Superior
893;MG;79;F;Ruim;Pós-graduação
894;MG;61;F;Regular;Médio
895;AM;47;M;Bom;Pós-graduação
896;RJ;48;F;Ruim;Superior
897;RJ;34;M;Regular;Fundamental
898;BA;18;M;Regular;Superior
899;MG;56;F;Regular;Superior
900;SP;74;M;Regular;Superior
901;SP;69;F;Ótimo;Pós-graduação
902;BA;74;F;Ruim;Superior
903;MG;44;M;Ótimo;Fundamental
904;MG;31;M;Ruim;Fundamental
905;MG;74;M;Péssimo;Pós-graduação
906;BA;53;F;Ruim;Fundamental
907;MG;60;F;Péssimo;Superior
908;RJ;45;F;Regular;Pós-graduação
909;AM;32;M;Péssimo;Médio
910;AM;44;M;Péssimo;Superior
911;MG;40;F;Bom;Superior
912;SP;26;F;Bom;Superior
913;BA;41;M;Péssimo;Superior
914;BA;50;F;Regular;Médio
915;SP;30;M;Bom;Superior
916;AM;19;M;Bom;Fundamental
917;RJ;35;M;Péssimo;Pós-graduação
918;BA;77;M;Regular;Fundamental
919;RJ;19;F;Ruim;Médio
920;AM;16;M;Péssimo;Médio
921;AM;55;M;Ruim;Superior
922;RJ;59;M;Ótimo;Médio
923;BA;23;F;Ruim;Pós-graduação
924;BA;20;F;Péssimo;Pós-graduação
925;BA;59;M;Regular;Superior
926;AM;22;M;Regular;Superior
927;BA;50;M;Bom;Pós-graduação
928;RJ;43;F;Péssimo;Superior
929;RJ;29;F;Ótimo;Superior
930;MG;78;F;Ruim;Fundamental
931;SP;29;F;Ruim;Superior
932;AM;76;F;Ruim;Superior
933;SP;20;M;Ótimo;Médio
934;BA;45;M;Bom;Pós-graduação
935;MG;38;M;Ruim;Fundamental
936;MG;47;M;Péssimo;Superior
937;MG;46;M;Ruim;Fundamental
938;SP;47;F;Péssimo;Fundamental
939;RJ;39;M;Ótimo;Pós-graduação
940;AM;73;M;Péssimo;Superior
941;SP;66;M;Ruim;Pós-graduação
942;SP;54;F;Bom;Médio
943;BA;73;M;Bom;Médio
944;AM;61;M;Péssimo;Fundamental
945;BA;72;F;Ótimo;Superior
946;SP;62;M;Ótimo;Fundamental
947;SP;47;M;Ruim;Superior
948;AM;68;F;Bom;Superior
949;MG;52;M;Ruim;Superior
950;BA;51;F;Péssimo;Superior
951;RJ;74;F;Ruim;Superior
952;AM;64;F;Péssimo;Pós-graduação
953;BA;75;F;Ruim;Fundamental
954;AM;30;M;Bom;Pós-graduação
955;RJ;68;M;Ruim;Pós-graduação
956;RJ;16;M;Ótimo;Médio
957;AM;79;M;Ruim;Superior
958;SP;62;F;Péssimo;Superior
959;SP;34;F;Ruim;Superior
960;BA;70;F;Ruim;Médio
961;BA;46;M;Ótimo;Médio
962;SP;39;F;Regular;Pós-graduação
963;BA;37;M;Péssimo;Médio
964;AM;77;M;Péssimo;Superior
965;RJ;75;F;Regular;Pós-graduação
966;MG;20;M;Péssimo;Médio
967;MG;52;F;Ótimo;Superior
968;SP;18;M;Ótimo;Superior
969;BA;73;F;Regular;Superior
970;RJ;69;M;Péssimo;Superior
971;BA;34;F;Ruim;Pós-graduação
972;RJ;46;F;Ótimo;Pós-graduação
973;RJ;50;F;Bom;Fundamental
974;MG;29;M;Ótimo;Fundamental
975;AM;31;F;Ótimo;Médio
976;MG;54;M;Ruim;Médio
977;BA;61;M;Bom;Pós-graduação
978;SP;69;F;Ruim;Pós-graduação
979;SP;38;F;Regular;Pós-graduação
980;AM;40;F;Bom;Superior
981;MG;78;M;Péssimo;Médio
982;MG;26;M;Ruim;Médio
983;MG;69;M;Ruim;Médio
984;MG;71;M;Regular;Pós-graduação
985;RJ;39;F;Bom;Superior
986;AM;49;F;Regular;Pós-graduação
987;MG;32;M;Bom;Superior
988;MG;77;M;Ruim;Médio
989;BA;28;F;Péssimo;Médio
990;BA;57;M;Ótimo;Fundamental
991;SP;24;F;Ruim;Médio
992;MG;31;M;Ruim;Médio
993;AM;46;M;Ótimo;Médio
994;SP;62;F;Regular;Médio
995;BA;63;M;Bom;Fundamental
996;SP;22;M;Regular;Pós-graduação
997;BA;63;F;Bom;Superior
998;RJ;56;F;Ruim;Médio
999;MG;21;M;Ótimo;Pós-graduação
1000;RJ;67;M;Ótimo;Médio
